"","score","text"
"63",-1,"RT @unitedworkers: #BaltimoreUprising more on what's next #poverty #jobs #fairdevelopment : http://t.co/Db5Zrlas8p"
"64",0,"RT @LeahRBoss: Woman LIED about LE in Baltimore shooting man in the back. Why witnesses aren't always reliable. https://t.co/lYcwjd029T #Ba…"
"65",0,"RT @CCN_Updates: VIDEO: 1000s Take The Streets! The Real #BaltimoreUprising, via @MintPressNews &amp; @seannevins http://t.co/z3YaEIaEJk http:/…"
"66",1,"RT @righttoprotest: couple of hundred gathered now outside the US embassy in London for solidarity demo with #BaltimoreUprising http://t.co…"
"67",0,"@molon_labia  it's a weird day when I ""mostly"" agree with Trump. http://t.co/FfepYnLu90 #garlandshooting #Garland #BaltimoreUprising lol"
"68",0,"RT @KeeganNYC: If you think this looks like increased safety, you might be a fascist. #BaltimoreCurfew #BaltimoreUprising http://t.co/u6xqA…"
"69",0,"RT @deray: Watch the @BaltimorePolice assault this peaceful protestor last night. He left on a stretcher. #BaltimoreUprising http://t.co/6b…"
"70",0,"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB"
"71",1,"This is #UNITY. (PhotoCred. @KiriLaurelle) #BaltimoreUprising #Community #Justice for #Fre… http://t.co/B4k6UP5OhX http://t.co/X6qk5w3i6R"
"72",0,"RT @TheFinalCall: New Edition! A Step Toward Justice http://t.co/mkdP5Js4op #BaltimoreUprising #MarilynMosby http://t.co/GpdIzrn7Jw"
"73",1,"This is #UNITY. (PhotoCred. @KiriLaurelle) #BaltimoreUprising #Community #Justice for #Fre… http://t.co/CJXw4M5sTy http://t.co/e1o4pb1SgX"
"74",1,"RT @AmaruTMN: I'm about to put how I feel about #BaltimoreUprising in this track w @REALNPOETIC it's only right"
"75",0,"RT @multiasianfams: Twitter Reveals Inequity of #BaltimoreCurfew Enforcement http://t.co/3vbvKfwIvO #BaltimoreUprising http://t.co/afyltSg7…"
"76",0,"RT @AmConfDiversity: How Do We Prevent Another Freddie Gray? http://t.co/HeBCVXM80F #BaltimoreUprising #BlackLivesMatter http://t.co/lGclZ3…"
"77",-1,"Its nervewracking &amp; ludicrous to try to intellectualize #BaltimoreUprising"
"78",0,"RT @BORDC: Don't call it a curfew: http://t.co/0oRvMGxHPr #BaltimoreUprising #BreaktheCurfew"
"79",-1,"#USA  often,people have one bad experience and call for collective punishment for entire race.Sad.
#BlackLivesMatter   #BaltimoreUprising"
"80",-1,"#BaltimoreUprising more on what's next #poverty #jobs #fairdevelopment : http://t.co/Db5Zrlas8p"
"81",0,"Glenn Greenwald on what connects #BaltimoreUprising to the #NSA. http://t.co/3xbmRhCU6R #ows #obau #OccupySF #oo"
"82",0,"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB"
"83",-1,"RT @La_Directa: Amb el HT #Blackspring #BaltimoreUprising o #Blacklivesmatter milers de manifestants es van congregar dies després a ciutat…"
"84",-1,"The names of those killed by police written on North Charles St. The names went on for blocks. #BaltimoreUprising http://t.co/x6Z53vMbQV"
"85",-1,"The names of those killed by police written on North Charles St. The names went on for blocks. #BaltimoreUprising http://t.co/4Q8rFfc4WU"
"86",-2,"RT @AAPremlall: ""I’m in a burning building, worried about getting shot."" -@SaulWilliams http://t.co/zXGLP8TjJ7 #BaltimoreRiots #BaltimoreUp…"
"87",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"88",0,"RT @ThePatriot143: Only in America #Baltimore #BaltimoreUprising #BaltimoreRiots #BlackOnBlackPolicies http://t.co/0cQO87SyaE"
"89",0,"#Baltimore #BaltimoreUprising #BlackSpring #FTP #FilmThePolice  https://t.co/lg7UX2O7g0"
"90",0,"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB"
"91",0,"RT @LeahRBoss: Woman LIED about LE in Baltimore shooting man in the back. Why witnesses aren't always reliable. https://t.co/lYcwjd029T #Ba…"
"92",0,"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB"
"93",0,"Woman LIED about LE in Baltimore shooting man in the back. Why witnesses aren't always reliable. https://t.co/lYcwjd029T #BaltimoreUprising"
"94",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"95",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"96",-4,"RT @chicago_iso: #BaltimoreUprising is fighting racist police terrorism and racist economic terrorism all at once. #Justice4Freddie http://…"
"97",0,"RT @KeeganNYC: If you think this looks like increased safety, you might be a fascist. #BaltimoreCurfew #BaltimoreUprising http://t.co/u6xqA…"
"98",-1,"A friend reads statement from Julian Cole's mum, anniversary of his death today #BaltimoreUprising #BlackLivesMatter http://t.co/jtJ3lqbtg2"
"99",0,"RT @KeeganNYC: If you think this looks like increased safety, you might be a fascist. #BaltimoreCurfew #BaltimoreUprising http://t.co/u6xqA…"
"100",-1,"RT @PrisonPlanet: ""Racist"" fact: Blacks commit eight times more crimes against whites than vice-versa. https://t.co/iESw5rV3xw #BaltimoreUp…"
"101",0,"How Do We Prevent Another Freddie Gray? http://t.co/HeBCVXM80F #BaltimoreUprising #BlackLivesMatter http://t.co/lGclZ3dYWW"
"102",0,"RT @aimn2please: This Image Speaks For Itself. #BaltimoreUprising http://t.co/OT4ZFj12Ws"
"103",2,"In #Baltimore, some words of #Love &amp; #Unity #BaltimoreUprising #BlackLivesMatter #FreddieGray https://t.co/AYgLjktVj1 http://t.co/gHQI1MgiZw"
"104",0,"RT @ThePatriot143: Only in America #Baltimore #BaltimoreUprising #BaltimoreRiots #BlackOnBlackPolicies http://t.co/0cQO87SyaE"
"105",-1,"RT @RealAlexJones: VIDEO: ""Racist"" Facts White People Daren't Talk About - https://t.co/G2DghwMBJF #BaltimoreUprising"
"106",2,"In lieu of The #BaltimoreUprising. When is enough, enough? http://t.co/11ad7pzd4R"
"107",0,"RT @tweetcounting: Please RT Spread #BaltimoreRiots #BaltimoreUprising #FreddieGray #BlackLivesMatter http://t.co/9ZIwkjfZcv"
"108",1,"RT @mdnardone: Riots work. @ciccmaher on #Baltimore #BaltimoreUprising:

http://t.co/h9f0NqMRPo"
"109",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"110",0,"RT @ThePatriot143: Only in America #Baltimore #BaltimoreUprising #BaltimoreRiots #BlackOnBlackPolicies http://t.co/0cQO87SyaE"
"111",0,"Discussing 2nd hr. the legacy of #KentState killings on the air w/  John Grant! Listen at http://t.co/oew6fpPgJl. #BaltimoreUprising"
